CNIC,Degree Name,Program Name,Paasing Year,Institute,Board,Total Marks,Obt.Marks,percentage,CGPA
15606-0369811-1,HSC,Science,2022,The Knowledge,Swat,1100,1021,92.8182,0
15606-0369811-1,HSSC,Pre-Medical,2024,Degree College Mingora,Swat,1200,1037,86.4167,0
15606-0456733-4,HSC,Science,2014,City School Mingora,Swat,1100,1004,91.2727,0
15606-0456733-4,HSSC,Pre-Medical,2016,Jahanzaib College Saidu Sharif,Swat,1100,980,89.0909,0
15606-0456733-4,BS,Computer Engineering,2020,University Of Peshawar,,0,0,0,3.87
15606-0348767-5,HSC,Science,2022,Govt Secondar School Charbagh,Swat,1100,1002,91.0909,0
15606-0348767-5,HSSC,Pre-Medical,2024,Govt. Higher Secondary Charbagh,Swat,1200,1009,84.0833,0
15608-9877678-7,HSC,Science,2022,Hira school Charbagh,swat,1100,1002,91.0909,0
15608-9877678-7,HSSC,pre-medical,2024,degree college mingora,swat,1200,1089,90.75,0
15603-0879765-6,HSC,science,2022,hira school charbagh,swat,1100,980,89.0909,0
15603-0879765-6,HSSC,pre-medical,2024,degree college charbagh,swat,1200,1078,89.8333,0
15602-0978876-7,HSC,science,2022,the knowledge city charbagh,swat,1100,890,80.9091,0
15602-0978876-7,HSSC,pre-medical,2024,hira college charbagh,swat,1200,1090,90.8333,0
15602-0765765-6,HSC,science,2022,hira school charbagh,swat,1100,1002,91.0909,0
15602-0765765-6,HSSC,pre-medical,2024,degree college charbagh,swat,1200,1078,89.8333,0
15606-0988765-4,HSC,science,2022,The knowledge city Charbagh,swat,1100,1008,91.6364,0
15606-0988765-4,HSSC,pre-medical,2024,degree college charbagh,swat,1200,892,74.3333,0
15602-0988786-7,HSC,Science,2022,the knowledge cityrbagh,swat,1100,1005,91.3636,0
15602-0988786-7,HSSC,pre-medical,2024,degree college charbagh,swat,1200,1089,90.75,0
15607-7656654-3,HSC,science,2022,the knowledge city charbagh swat,swat,1100,1098,99.8182,0
15607-7656654-3,HSSC,pre-medical,2024,degree college mingora,swat,1200,1078,89.8333,0
15608-7657645-6,HSC,science,2022,hira school,swat,1100,1098,99.8182,0
15608-7657645-6,HSSC,pre-medical,2024,degree college charbagh,swat,1200,1045,87.0833,0
15606-0988767-8,HSC,science,2022,the knowledge city charbagh,swat,1100,1067,97,0
15606-0988767-8,HSSC,pre-medical,2024,degree college charbagh,swat,1200,1070,89.1667,0
