101,SAIFULLAH,Computer Science,3rd,3.9
102,Kashif Khan,Computer Science,3rd,3.7
103,Khalid Khan,Software Engineer,3rd,3.6
104,Khalil Khan,Computer Engineer,3rd,3.8
105,talha javeed,Computer Engineer,3rd,3.8
106,Hilal Ahmad,Information Tech,3rd,3.6
107,Abdullah,zoology   ,3rd ,3.7
108,Saqib Khan,Software Engineer,3rd,3.5
109,Dawood Khan,Botony      ,3rd,3.9
110,Qasim Khan,Computer Networking,3rd,3.56
111,Umar Rahman,LAW and Sharia,3rd,3.67
112,SAIFULLAH,Computer Science,3rd,3.620363636
113,Kashif Khan,Computer Science,3rd,3.606636364
114,Khalid Khan,Software Engineer,3rd,3.592909091
115,Khalil Khan,Computer Engineer,3rd,3.579181818
116,talha javeed,Computer Engineer,3rd,3.565454545
117,Hilal Ahmad,Information Tech,3rd,3.551727273
118,Abdullah,zoology   ,3rd,3.538
119,Saqib Khan,Software Engineer,3rd,3.524272727
120,Dawood Khan,Botony      ,3rd,3.510545455
121,Qasim Khan,Computer Networking,3rd,3.496818182
122,SAIFULLAH,Computer Science,3rd,3.483090909
123,Kashif Khan,Computer Science,3rd,3.469363636
124,Khalid Khan,Software Engineer,3rd,3.455636364
125,Khalil Khan,Computer Engineer,3rd,3.441909091
126,talha javeed,Computer Engineer,3rd,3.428181818
127,Hilal Ahmad,Information Tech,3rd,3.414454545
128,Abdullah,zoology   ,3rd,3.400727273
129,Saqib Khan,Software Engineer,3rd,3.387
130,Dawood Khan,Botony      ,3rd,3.373272727
131,Qasim Khan,Computer Networking,3rd,3.359545455
132,Umar Rahman,LAW and Sharia,3rd,3.345818182
133,SAIFULLAH,Computer Science,3rd,3.332090909
134,Kashif Khan,Computer Science,3rd,3.318363636
135,Khalid Khan,Software Engineer,3rd,3.304636364
136,Khalil Khan,Computer Engineer,3rd,3.290909091
137,talha javeed,Computer Engineer,3rd,3.277181818
138,Hilal Ahmad,Information Tech,3rd,3.263454545
139,Abdullah,zoology   ,3rd,3.249727273
140,Saqib Khan,Software Engineer,3rd,3.236
141,Dawood Khan,Botony      ,3rd,3.222272727
142,Qasim Khan,Computer Networking,3rd,3.208545455
143,SAIFULLAH,Computer Science,3rd,3.194818182
144,Kashif Khan,Computer Science,3rd,3.181090909
145,Khalid Khan,Software Engineer,3rd,3.167363636
146,Khalil Khan,Computer Engineer,3rd,3.153636364
